waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,object_detection_intersect,vehicle_waypoint_distance
13,94619.2344,78081.8906,35.8099,-0.2226,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
14,94619.7812,78081.7812,35.82,-0.2215,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
15,94620.3203,78081.6641,35.8054,-0.216,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
16,94620.8438,78081.5312,35.8188,-0.2121,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
17,94621.3438,78081.4219,35.8117,-0.2098,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
18,94621.8984,78081.2891,35.8045,-0.214,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
19,94622.3828,78081.1641,35.8136,-0.2124,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
20,94622.8828,78081.0547,35.8149,-0.216,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
21,94623.3828,78080.9453,35.8228,-0.2217,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
22,94623.9219,78080.7812,35.8118,-0.2251,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
23,94624.4219,78080.6641,35.8209,-0.2304,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
24,94624.9219,78080.5469,35.8278,-0.2288,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
25,94625.4141,78080.3828,35.8223,-0.2243,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
